datetime,open,close
1588604760000,160.1957,160.17
1588604820000,160.1601,160.22
1588604880000,160.2299,160.21
1588604940000,160.2,160.1601
1588605000000,160.18,160.24
1588605060000,160.23,160.22
1588605120000,160.2245,160.295
1588605180000,160.29,160.29
1588605240000,160.28,160.305
1588605300000,160.3001,160.331
1588605360000,160.335,160.37
1588605420000,160.37,160.38
1588605480000,160.36,160.3571
1588605540000,160.35,160.345
1588605600000,160.3499,160.31
1588605660000,160.3,160.36
1588605720000,160.35,160.34
1588605780000,160.35,160.32
1588605840000,160.3137,160.37
1588605900000,160.38,160.3115
1588605960000,160.31,160.36
1588606020000,160.3623,160.3799
1588606080000,160.37,160.439
1588606140000,160.44,160.4681
1588606200000,160.465,160.44
1588606260000,160.4315,160.38
1588606320000,160.38,160.47
1588606380000,160.45,160.375
1588606440000,160.37,160.38
1588606500000,160.39,160.3698
1588606560000,160.35,160.39
1588606620000,160.38,160.3901
1588606680000,160.39,160.38
1588606740000,160.385,160.46
1588606800000,160.46,160.445
1588606860000,160.435,160.38
1588606920000,160.39,160.435
1588606980000,160.441,160.4099
1588607040000,160.41,160.4299
1588607100000,160.42,160.37
1588607160000,160.4,160.4
1588607220000,160.42,160.43
1588607280000,160.41,160.41
1588607340000,160.41,160.48
1588607400000,160.4752,160.4099
1588607460000,160.4,160.43
1588607520000,160.43,160.44
1588607580000,160.44,160.4904
1588607640000,160.52,160.518
1588607700000,160.51,160.5
1588607760000,160.49,160.52
1588607820000,160.51,160.54
1588607880000,160.53,160.64
1588607940000,160.65,160.65
1588608000000,160.651,160.625
1588608060000,160.6419,160.6
1588608120000,160.59,160.53
1588608180000,160.54,160.46
1588608240000,160.4667,160.46
1588608300000,160.47,160.42
1588608360000,160.43,160.48
1588608420000,160.47,160.465
1588608480000,160.465,160.38
1588608540000,160.3705,160.3995
1588608600000,160.4,160.4
1588608660000,160.43,160.38
1588608720000,160.39,160.43
1588608780000,160.46,160.44
1588608840000,160.44,160.45
1588608900000,160.45,160.48
1588608960000,160.4833,160.45
1588609020000,160.425,160.4
1588609080000,160.3901,160.45
1588609140000,160.46,160.4715
1588609200000,160.46,160.52
1588609260000,160.52,160.51
1588609320000,160.502,160.49
1588609380000,160.49,160.509
1588609440000,160.495,160.5
1588609500000,160.51,160.55
1588609560000,160.55,160.4799
1588609620000,160.5,160.4234
1588609680000,160.41,160.4
1588609740000,160.39,160.36
1588609800000,160.3604,160.42
1588609860000,160.43,160.43
1588609920000,160.4377,160.41
1588609980000,160.395,160.44
1588610040000,160.425,160.46
1588610100000,160.46,160.43
1588610160000,160.4323,160.435
1588610220000,160.42,160.4315
1588610280000,160.425,160.42
1588610340000,160.42,160.4321
1588610400000,160.43,160.43
1588610460000,160.43,160.4045
1588610520000,160.41,160.39
1588610580000,160.395,160.4
1588610640000,160.42,160.45
1588610700000,160.44,160.44
1588610760000,160.44,160.44
1588610820000,160.45,160.45
1588610880000,160.435,160.43
1588610940000,160.42,160.36
1588611000000,160.3801,160.43
1588611060000,160.4,160.42
1588611120000,160.43,160.41
1588611180000,160.4023,160.365
1588611240000,160.3615,160.37
1588611300000,160.375,160.3964
1588611360000,160.39,160.368
1588611420000,160.38,160.39
1588611480000,160.401,160.45
1588611540000,160.44,160.525
1588611600000,160.53,160.52
1588611660000,160.5225,160.545
1588611720000,160.54,160.495
1588611780000,160.5,160.49
1588611840000,160.49,160.4715
1588611900000,160.46,160.4
1588611960000,160.41,160.42
1588612020000,160.42,160.45
1588612080000,160.445,160.4701
1588612140000,160.47,160.48
1588612200000,160.49,160.44
1588612260000,160.43,160.43
1588612320000,160.455,160.47
1588612380000,160.46,160.47
1588612440000,160.4621,160.435
1588612500000,160.43,160.44
1588612560000,160.435,160.4098
1588612620000,160.41,160.418
1588612680000,160.41,160.4631
1588612740000,160.46,160.35
1588612800000,160.365,160.36
1588612860000,160.36,160.405
1588612920000,160.42,160.4469
1588612980000,160.455,160.45
1588613040000,160.42,160.4202
1588613100000,160.45,160.4
1588613160000,160.4,160.385
1588613220000,160.38,160.47
1588613280000,160.47,160.5
1588613340000,160.48,160.45
1588613400000,160.44,160.45
1588613460000,160.46,160.5215
1588613520000,160.528,160.57
1588613580000,160.55,160.51
1588613640000,160.56,160.55
1588613700000,160.52,160.55
1588613760000,160.56,160.52
1588613820000,160.52,160.5375
1588613880000,160.53,160.5
1588613940000,160.51,160.4937
1588614000000,160.5,160.4733
1588614060000,160.47,160.45
1588614120000,160.46,160.48
1588614180000,160.46,160.41
1588614240000,160.41,160.44
1588614300000,160.435,160.45
1588614360000,160.46,160.4781
1588614420000,160.475,160.53
1588614480000,160.5234,160.58
1588614540000,160.58,160.51
1588614600000,160.52,160.54
1588614660000,160.54,160.535
1588614720000,160.53,160.64
1588614780000,160.61,160.62
1588614840000,160.63,160.6837
1588614900000,160.6845,160.7
1588614960000,160.69,160.65
1588615020000,160.65,160.7
1588615080000,160.6923,160.65
1588615140000,160.66,160.71
1588615200000,160.71,160.69
1588615260000,160.69,160.71
1588615320000,160.69,160.7
1588615380000,160.71,160.6799
1588615440000,160.69,160.689
1588615500000,160.69,160.655
1588615560000,160.64,160.68
1588615620000,160.68,160.6
1588615680000,160.59,160.51
1588615740000,160.51,160.3699
1588615800000,160.37,160.328
1588615860000,160.33,160.3402
1588615920000,160.325,160.37
1588615980000,160.355,160.358
1588616040000,160.34,160.295
1588616100000,160.2936,160.135
1588616160000,160.13,160.38
1588616220000,160.38,160.49
1588616280000,160.49,160.5019
1588616340000,160.5,160.5
1588616400000,160.5,160.58
1588616460000,160.5301,160.54
1588616520000,160.54,160.537
1588616580000,160.52,160.5411
1588616640000,160.545,160.5215
1588616700000,160.525,160.555
1588616760000,160.55,160.525
